NO,Name,Molecular Formula,SMILES,RT,RT1,RT2,RT3,RT4,timspro
L7413,14:0-13:0-14:0 TG-d5,C44H79H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCC)[C@]([H])(OC(=O)CCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCC,15.71,16.635,14.04,12.695,13.855,11.6
L7414,14:0-15:1-14:0 TG-d5,C46H81H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCC,15.73,16.67,14.235,12.76,13.805,11.6
L7415,14:0-17:1-14:0 TG-d5,C48H85H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCC,16.08,17.32,15.78,13.08,14.47,12
L7416,16:0-15:1-16:0 TG-d5,C50H89H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCCCC,16.43,18.05,16.785,13.24,15.12,12.5
L7417,16:0-17:1-16:0 TG-d5,C52H93H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCCCC,16.7,18.835,17.235,13.345,15.67,13
L7418,16:0-19:2-16:0 TG-d5,C54H95H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)/C=C\C=C/CCCCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCCCC,16.76,19.01,17.29,13.355,15.5935,13.1
L7419,18:1-17:1-18:1 TG-d5,C56H97H5O6,[H]C([H])(OC(=O)\C=C/CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCCCC)C([H])([H])OC(=O)\C=C/CCCCCCCCCCCCCCC,16.72,18.94,17.305,13.385,15.595,13
L7420,18:1-19:2-18:1 TG-d5,C58H99H5O6,[H]C([H])(OC(=O)\C=C/CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/C=C\CCCCCCCCCCCCCC)C([H])([H])OC(=O)\C=C/CCCCCCCCCCCCCCC,16.76,19.135,17.365,13.4,15.625,13
L7421,18:1-21:2-18:1 TG-d5,C60H103H5O6,[H]C([H])(OC(=O)\C=C/CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/C=C\CCCCCCCCCCCCCCCC)C([H])([H])OC(=O)\C=C/CCCCCCCCCCCCCCC,17.01,19.935,17.635,13.46,16.105,13.6
L7422,14:1 cholesteryl-d7 ester,C41H63H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\CCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H],16.25,17.685,16.665,13.42351011,14.98,12.2
L7423,16:1 cholesteryl-d7 ester,C43H67H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\CCCCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H],16.64,18.555,17.31,12.84062462,15.66,12.7
L7424,18:1 cholesteryl-d7 ester,C45H71H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\CCCCCCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H],17.05,19.535,17.71,13.39,16.33,13.4
L7425,20:3 cholesteryl-d7 ester,C47H71H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\C/C=C\C=C/CCCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H],16.78,18.93,17.465,13.315,15.795,12.9
L7426,22:4 cholesteryl-d7 ester,C49H73H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\C/C=C\C=C/C\C=C/CCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H],16.84,19.19,17.55,17.09,15.86,13
L7427,C16:1 Ceramide-d7 (d18:1-d7/16:1),C34H58H7NO3,OC[C@]([H])(NC(\C=C/CCCCCCCCCCCCC)=O)[C@@](O)([H])/C=C/CCCCCCCCCCC(C(C([H])([H])[H])([H])[H])([H])[H],6.98,12.87,4.7175,8.545,8.975,7.9
