ID,Name,Molecular Formula,SMILES
L7413,14:0-13:0-14:0 TG-d5,C44H79H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCC)[C@]([H])(OC(=O)CCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCC
L7414,14:0-15:1-14:0 TG-d5,C46H81H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCC
L7415,14:0-17:1-14:0 TG-d5,C48H85H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCC
L7416,16:0-15:1-16:0 TG-d5,C50H89H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCCCC
L7417,16:0-17:1-16:0 TG-d5,C52H93H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCCCC
L7418,16:0-19:2-16:0 TG-d5,C54H95H5O6,[H]C([H])(OC(=O)CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)/C=C\C=C/CCCCCCCCCCCCCC)C([H])([H])OC(=O)CCCCCCCCCCCCCCC
L7419,18:1-17:1-18:1 TG-d5,C56H97H5O6,[H]C([H])(OC(=O)\C=C/CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/CCCCCCCCCCCCCC)C([H])([H])OC(=O)\C=C/CCCCCCCCCCCCCCC
L7420,18:1-19:2-18:1 TG-d5,C58H99H5O6,[H]C([H])(OC(=O)\C=C/CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/C=C\CCCCCCCCCCCCCC)C([H])([H])OC(=O)\C=C/CCCCCCCCCCCCCCC
L7421,18:1-21:2-18:1 TG-d5,C60H103H5O6,[H]C([H])(OC(=O)\C=C/CCCCCCCCCCCCCCC)[C@]([H])(OC(=O)\C=C/C=C\CCCCCCCCCCCCCCCC)C([H])([H])OC(=O)\C=C/CCCCCCCCCCCCCCC
L7422,14:1 cholesteryl-d7 ester,C41H63H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\CCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H]
L7423,16:1 cholesteryl-d7 ester,C43H67H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\CCCCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H]
L7424,18:1 cholesteryl-d7 ester,C45H71H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\CCCCCCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H]
L7425,20:3 cholesteryl-d7 ester,C47H71H7O2,[H]C([H])([H])C([H])(CCC[C@@H](C)[C@H]3CCC4[C@@H]2CC=C1C[C@@H](OC(=O)/C=C\C/C=C\C=C/CCCCCCCCCCCC)CC[C@]1(C)[C@H]2CC[C@]34C)C([H])([H])[H]
