original_column,renamed_column
nAcid,DP0001
ALogP,DP0002
ALogp2,DP0003
AMR,DP0004
apol,DP0005
naAromAtom,DP0006
nAromBond,DP0007
nAtom,DP0008
nHeavyAtom,DP0009
nH,DP0010
nB,DP0011
nC,DP0012
nN,DP0013
nO,DP0014
nS,DP0015
nP,DP0016
nF,DP0017
nCl,DP0018
nBr,DP0019
nI,DP0020
nX,DP0021
ATS0m,DP0022
ATS1m,DP0023
ATS2m,DP0024
ATS3m,DP0025
ATS4m,DP0026
ATS5m,DP0027
ATS6m,DP0028
ATS7m,DP0029
ATS8m,DP0030
ATS0v,DP0031
ATS1v,DP0032
ATS2v,DP0033
ATS3v,DP0034
ATS4v,DP0035
ATS5v,DP0036
ATS6v,DP0037
ATS7v,DP0038
ATS8v,DP0039
ATS0e,DP0040
ATS1e,DP0041
ATS2e,DP0042
ATS3e,DP0043
ATS4e,DP0044
ATS5e,DP0045
ATS6e,DP0046
ATS7e,DP0047
ATS8e,DP0048
ATS0p,DP0049
ATS1p,DP0050
ATS2p,DP0051
ATS3p,DP0052
ATS4p,DP0053
ATS5p,DP0054
ATS6p,DP0055
ATS7p,DP0056
ATS8p,DP0057
ATS0i,DP0058
ATS1i,DP0059
ATS2i,DP0060
ATS3i,DP0061
ATS4i,DP0062
ATS5i,DP0063
ATS6i,DP0064
ATS7i,DP0065
ATS8i,DP0066
ATS0s,DP0067
ATS1s,DP0068
ATS2s,DP0069
ATS3s,DP0070
ATS4s,DP0071
ATS5s,DP0072
ATS6s,DP0073
ATS7s,DP0074
ATS8s,DP0075
AATS0m,DP0076
AATS1m,DP0077
AATS2m,DP0078
AATS3m,DP0079
AATS4m,DP0080
AATS5m,DP0081
AATS6m,DP0082
AATS7m,DP0083
AATS8m,DP0084
AATS0v,DP0085
AATS1v,DP0086
AATS2v,DP0087
AATS3v,DP0088
AATS4v,DP0089
AATS5v,DP0090
AATS6v,DP0091
AATS7v,DP0092
AATS8v,DP0093
AATS0e,DP0094
AATS1e,DP0095
AATS2e,DP0096
AATS3e,DP0097
AATS4e,DP0098
AATS5e,DP0099
AATS6e,DP0100
AATS7e,DP0101
AATS8e,DP0102
AATS0p,DP0103
AATS1p,DP0104
AATS2p,DP0105
AATS3p,DP0106
AATS4p,DP0107
AATS5p,DP0108
AATS6p,DP0109
AATS7p,DP0110
AATS8p,DP0111
AATS0i,DP0112
AATS1i,DP0113
AATS2i,DP0114
AATS3i,DP0115
AATS4i,DP0116
AATS5i,DP0117
AATS6i,DP0118
AATS7i,DP0119
AATS8i,DP0120
AATS0s,DP0121
AATS1s,DP0122
AATS2s,DP0123
AATS3s,DP0124
AATS4s,DP0125
AATS5s,DP0126
AATS6s,DP0127
AATS7s,DP0128
AATS8s,DP0129
ATSC0c,DP0130
ATSC1c,DP0131
ATSC2c,DP0132
ATSC3c,DP0133
ATSC4c,DP0134
ATSC5c,DP0135
ATSC6c,DP0136
ATSC7c,DP0137
ATSC8c,DP0138
ATSC0m,DP0139
ATSC1m,DP0140
ATSC2m,DP0141
ATSC3m,DP0142
ATSC4m,DP0143
ATSC5m,DP0144
ATSC6m,DP0145
ATSC7m,DP0146
ATSC8m,DP0147
ATSC0v,DP0148
ATSC1v,DP0149
ATSC2v,DP0150
ATSC3v,DP0151
ATSC4v,DP0152
ATSC5v,DP0153
ATSC6v,DP0154
ATSC7v,DP0155
ATSC8v,DP0156
ATSC0e,DP0157
ATSC1e,DP0158
ATSC2e,DP0159
ATSC3e,DP0160
ATSC4e,DP0161
ATSC5e,DP0162
ATSC6e,DP0163
ATSC7e,DP0164
ATSC8e,DP0165
ATSC0p,DP0166
ATSC1p,DP0167
ATSC2p,DP0168
ATSC3p,DP0169
ATSC4p,DP0170
ATSC5p,DP0171
ATSC6p,DP0172
ATSC7p,DP0173
ATSC8p,DP0174
ATSC0i,DP0175
ATSC1i,DP0176
ATSC2i,DP0177
ATSC3i,DP0178
ATSC4i,DP0179
ATSC5i,DP0180
ATSC6i,DP0181
ATSC7i,DP0182
ATSC8i,DP0183
ATSC0s,DP0184
ATSC1s,DP0185
ATSC2s,DP0186
ATSC3s,DP0187
ATSC4s,DP0188
ATSC5s,DP0189
ATSC6s,DP0190
ATSC7s,DP0191
ATSC8s,DP0192
AATSC0c,DP0193
AATSC1c,DP0194
AATSC2c,DP0195
AATSC3c,DP0196
AATSC4c,DP0197
AATSC5c,DP0198
AATSC6c,DP0199
AATSC7c,DP0200
AATSC8c,DP0201
AATSC0m,DP0202
AATSC1m,DP0203
AATSC2m,DP0204
AATSC3m,DP0205
AATSC4m,DP0206
AATSC5m,DP0207
AATSC6m,DP0208
AATSC7m,DP0209
AATSC8m,DP0210
AATSC0v,DP0211
AATSC1v,DP0212
AATSC2v,DP0213
AATSC3v,DP0214
AATSC4v,DP0215
AATSC5v,DP0216
AATSC6v,DP0217
AATSC7v,DP0218
AATSC8v,DP0219
AATSC0e,DP0220
AATSC1e,DP0221
AATSC2e,DP0222
AATSC3e,DP0223
AATSC4e,DP0224
AATSC5e,DP0225
AATSC6e,DP0226
AATSC7e,DP0227
AATSC8e,DP0228
AATSC0p,DP0229
AATSC1p,DP0230
AATSC2p,DP0231
AATSC3p,DP0232
AATSC4p,DP0233
AATSC5p,DP0234
AATSC6p,DP0235
AATSC7p,DP0236
AATSC8p,DP0237
AATSC0i,DP0238
AATSC1i,DP0239
AATSC2i,DP0240
AATSC3i,DP0241
AATSC4i,DP0242
AATSC5i,DP0243
AATSC6i,DP0244
AATSC7i,DP0245
AATSC8i,DP0246
AATSC0s,DP0247
AATSC1s,DP0248
AATSC2s,DP0249
AATSC3s,DP0250
AATSC4s,DP0251
AATSC5s,DP0252
AATSC6s,DP0253
AATSC7s,DP0254
AATSC8s,DP0255
MATS1c,DP0256
MATS2c,DP0257
MATS3c,DP0258
MATS4c,DP0259
MATS5c,DP0260
MATS6c,DP0261
MATS7c,DP0262
MATS8c,DP0263
MATS1m,DP0264
MATS2m,DP0265
MATS3m,DP0266
MATS4m,DP0267
MATS5m,DP0268
MATS6m,DP0269
MATS7m,DP0270
MATS8m,DP0271
MATS1v,DP0272
MATS2v,DP0273
MATS3v,DP0274
MATS4v,DP0275
MATS5v,DP0276
MATS6v,DP0277
MATS7v,DP0278
MATS8v,DP0279
